time,interesse,nome
2016-08-29T21:40:00-03:00,9,Dilma Roussef
2016-08-29T21:48:00-03:00,9,Dilma Roussef
2016-08-29T21:56:00-03:00,9,Dilma Roussef
2016-08-29T22:04:00-03:00,9,Dilma Roussef
2016-08-29T22:12:00-03:00,9,Dilma Roussef
2016-08-29T22:20:00-03:00,9,Dilma Roussef
2016-08-29T22:28:00-03:00,9,Dilma Roussef
2016-08-29T22:36:00-03:00,9,Dilma Roussef
2016-08-29T22:44:00-03:00,9,Dilma Roussef
2016-08-29T22:52:00-03:00,10,Dilma Roussef
2016-08-29T23:00:00-03:00,9,Dilma Roussef
2016-08-29T23:08:00-03:00,9,Dilma Roussef
2016-08-29T23:16:00-03:00,8,Dilma Roussef
2016-08-29T23:24:00-03:00,8,Dilma Roussef
2016-08-29T23:32:00-03:00,9,Dilma Roussef
2016-08-29T23:40:00-03:00,9,Dilma Roussef
2016-08-29T23:48:00-03:00,9,Dilma Roussef
2016-08-29T23:56:00-03:00,8,Dilma Roussef
2016-08-30T00:04:00-03:00,8,Dilma Roussef
2016-08-30T00:12:00-03:00,8,Dilma Roussef
2016-08-30T00:20:00-03:00,7,Dilma Roussef
2016-08-30T00:28:00-03:00,6,Dilma Roussef
2016-08-30T00:36:00-03:00,6,Dilma Roussef
2016-08-30T00:44:00-03:00,5,Dilma Roussef
2016-08-30T00:52:00-03:00,5,Dilma Roussef
2016-08-30T01:00:00-03:00,5,Dilma Roussef
2016-08-30T01:08:00-03:00,5,Dilma Roussef
2016-08-30T01:16:00-03:00,4,Dilma Roussef
2016-08-30T01:24:00-03:00,3,Dilma Roussef
2016-08-30T01:32:00-03:00,3,Dilma Roussef
2016-08-30T01:40:00-03:00,3,Dilma Roussef
2016-08-30T01:48:00-03:00,2,Dilma Roussef
2016-08-30T01:56:00-03:00,2,Dilma Roussef
2016-08-30T02:04:00-03:00,2,Dilma Roussef
2016-08-30T02:12:00-03:00,2,Dilma Roussef
2016-08-30T02:20:00-03:00,2,Dilma Roussef
2016-08-30T02:28:00-03:00,2,Dilma Roussef
2016-08-30T02:36:00-03:00,2,Dilma Roussef
2016-08-30T02:44:00-03:00,1,Dilma Roussef
2016-08-30T02:52:00-03:00,1,Dilma Roussef
2016-08-30T03:00:00-03:00,1,Dilma Roussef
2016-08-30T03:08:00-03:00,1,Dilma Roussef
2016-08-30T03:16:00-03:00,1,Dilma Roussef
2016-08-30T03:24:00-03:00,1,Dilma Roussef
2016-08-30T03:32:00-03:00,1,Dilma Roussef
2016-08-30T03:40:00-03:00,1,Dilma Roussef
2016-08-30T03:48:00-03:00,1,Dilma Roussef
2016-08-30T03:56:00-03:00,1,Dilma Roussef
2016-08-30T04:04:00-03:00,1,Dilma Roussef
2016-08-30T04:12:00-03:00,1,Dilma Roussef
2016-08-30T04:20:00-03:00,1,Dilma Roussef
2016-08-30T04:28:00-03:00,1,Dilma Roussef
2016-08-30T04:36:00-03:00,1,Dilma Roussef
2016-08-30T04:44:00-03:00,1,Dilma Roussef
2016-08-30T04:52:00-03:00,1,Dilma Roussef
2016-08-30T05:00:00-03:00,1,Dilma Roussef
2016-08-30T05:08:00-03:00,1,Dilma Roussef
2016-08-30T05:16:00-03:00,1,Dilma Roussef
2016-08-30T05:24:00-03:00,1,Dilma Roussef
2016-08-30T05:32:00-03:00,1,Dilma Roussef
2016-08-30T05:40:00-03:00,2,Dilma Roussef
2016-08-30T05:48:00-03:00,2,Dilma Roussef
2016-08-30T05:56:00-03:00,2,Dilma Roussef
2016-08-30T06:04:00-03:00,2,Dilma Roussef
2016-08-30T06:12:00-03:00,2,Dilma Roussef
2016-08-30T06:20:00-03:00,3,Dilma Roussef
2016-08-30T06:28:00-03:00,3,Dilma Roussef
2016-08-30T06:36:00-03:00,3,Dilma Roussef
2016-08-30T06:44:00-03:00,3,Dilma Roussef
2016-08-30T06:52:00-03:00,3,Dilma Roussef
2016-08-30T07:00:00-03:00,4,Dilma Roussef
2016-08-30T07:08:00-03:00,4,Dilma Roussef
2016-08-30T07:16:00-03:00,4,Dilma Roussef
2016-08-30T07:24:00-03:00,4,Dilma Roussef
2016-08-30T07:32:00-03:00,5,Dilma Roussef
2016-08-30T07:40:00-03:00,7,Dilma Roussef
2016-08-30T07:48:00-03:00,5,Dilma Roussef
2016-08-30T07:56:00-03:00,5,Dilma Roussef
2016-08-30T08:04:00-03:00,5,Dilma Roussef
2016-08-30T08:12:00-03:00,6,Dilma Roussef
2016-08-30T08:20:00-03:00,5,Dilma Roussef
2016-08-30T08:28:00-03:00,5,Dilma Roussef
2016-08-30T08:36:00-03:00,5,Dilma Roussef
2016-08-30T08:44:00-03:00,6,Dilma Roussef
2016-08-30T08:52:00-03:00,5,Dilma Roussef
2016-08-30T09:00:00-03:00,6,Dilma Roussef
2016-08-30T09:08:00-03:00,6,Dilma Roussef
2016-08-30T09:16:00-03:00,5,Dilma Roussef
2016-08-30T09:24:00-03:00,5,Dilma Roussef
2016-08-30T09:32:00-03:00,5,Dilma Roussef
2016-08-30T09:40:00-03:00,5,Dilma Roussef
2016-08-30T09:48:00-03:00,5,Dilma Roussef
2016-08-30T09:56:00-03:00,5,Dilma Roussef
2016-08-30T10:04:00-03:00,5,Dilma Roussef
2016-08-30T10:12:00-03:00,6,Dilma Roussef
2016-08-30T10:20:00-03:00,5,Dilma Roussef
2016-08-30T10:28:00-03:00,5,Dilma Roussef
2016-08-30T10:36:00-03:00,5,Dilma Roussef
2016-08-30T10:44:00-03:00,5,Dilma Roussef
2016-08-30T10:52:00-03:00,5,Dilma Roussef
2016-08-30T11:00:00-03:00,5,Dilma Roussef
2016-08-30T11:08:00-03:00,5,Dilma Roussef
2016-08-30T11:16:00-03:00,5,Dilma Roussef
2016-08-30T11:24:00-03:00,5,Dilma Roussef
2016-08-30T11:32:00-03:00,5,Dilma Roussef
2016-08-30T11:40:00-03:00,5,Dilma Roussef
2016-08-30T11:48:00-03:00,5,Dilma Roussef
2016-08-30T11:56:00-03:00,5,Dilma Roussef
2016-08-30T12:04:00-03:00,6,Dilma Roussef
2016-08-30T12:12:00-03:00,5,Dilma Roussef
2016-08-30T12:20:00-03:00,5,Dilma Roussef
2016-08-30T12:28:00-03:00,6,Dilma Roussef
2016-08-30T12:36:00-03:00,6,Dilma Roussef
2016-08-30T12:44:00-03:00,6,Dilma Roussef
2016-08-30T12:52:00-03:00,5,Dilma Roussef
2016-08-30T13:00:00-03:00,6,Dilma Roussef
2016-08-30T13:08:00-03:00,6,Dilma Roussef
2016-08-30T13:16:00-03:00,7,Dilma Roussef
2016-08-30T13:24:00-03:00,7,Dilma Roussef
2016-08-30T13:32:00-03:00,5,Dilma Roussef
2016-08-30T13:40:00-03:00,5,Dilma Roussef
2016-08-30T13:48:00-03:00,5,Dilma Roussef
2016-08-30T13:56:00-03:00,5,Dilma Roussef
2016-08-30T14:04:00-03:00,5,Dilma Roussef
2016-08-30T14:12:00-03:00,5,Dilma Roussef
2016-08-30T14:20:00-03:00,5,Dilma Roussef
2016-08-30T14:28:00-03:00,5,Dilma Roussef
2016-08-30T14:36:00-03:00,5,Dilma Roussef
2016-08-30T14:44:00-03:00,5,Dilma Roussef
2016-08-30T14:52:00-03:00,5,Dilma Roussef
2016-08-30T15:00:00-03:00,5,Dilma Roussef
2016-08-30T15:08:00-03:00,5,Dilma Roussef
2016-08-30T15:16:00-03:00,5,Dilma Roussef
2016-08-30T15:24:00-03:00,5,Dilma Roussef
2016-08-30T15:32:00-03:00,5,Dilma Roussef
2016-08-30T15:40:00-03:00,5,Dilma Roussef
2016-08-30T15:48:00-03:00,5,Dilma Roussef
2016-08-30T15:56:00-03:00,5,Dilma Roussef
2016-08-30T16:04:00-03:00,5,Dilma Roussef
2016-08-30T16:12:00-03:00,5,Dilma Roussef
2016-08-30T16:20:00-03:00,5,Dilma Roussef
2016-08-30T16:28:00-03:00,5,Dilma Roussef
2016-08-30T16:36:00-03:00,6,Dilma Roussef
2016-08-30T16:44:00-03:00,6,Dilma Roussef
2016-08-30T16:52:00-03:00,6,Dilma Roussef
2016-08-30T17:00:00-03:00,6,Dilma Roussef
2016-08-30T17:08:00-03:00,6,Dilma Roussef
2016-08-30T17:16:00-03:00,6,Dilma Roussef
2016-08-30T17:24:00-03:00,6,Dilma Roussef
2016-08-30T17:32:00-03:00,6,Dilma Roussef
2016-08-30T17:40:00-03:00,6,Dilma Roussef
2016-08-30T17:48:00-03:00,6,Dilma Roussef
2016-08-30T17:56:00-03:00,6,Dilma Roussef
2016-08-30T18:04:00-03:00,6,Dilma Roussef
2016-08-30T18:12:00-03:00,6,Dilma Roussef
2016-08-30T18:20:00-03:00,6,Dilma Roussef
2016-08-30T18:28:00-03:00,7,Dilma Roussef
2016-08-30T18:36:00-03:00,6,Dilma Roussef
2016-08-30T18:44:00-03:00,7,Dilma Roussef
2016-08-30T18:52:00-03:00,7,Dilma Roussef
2016-08-30T19:00:00-03:00,7,Dilma Roussef
2016-08-30T19:08:00-03:00,7,Dilma Roussef
2016-08-30T19:16:00-03:00,7,Dilma Roussef
2016-08-30T19:24:00-03:00,7,Dilma Roussef
2016-08-30T19:32:00-03:00,7,Dilma Roussef
2016-08-30T19:40:00-03:00,7,Dilma Roussef
2016-08-30T19:48:00-03:00,8,Dilma Roussef
2016-08-30T19:56:00-03:00,8,Dilma Roussef
2016-08-30T20:04:00-03:00,8,Dilma Roussef
2016-08-30T20:12:00-03:00,9,Dilma Roussef
2016-08-30T20:20:00-03:00,8,Dilma Roussef
2016-08-30T20:28:00-03:00,9,Dilma Roussef
2016-08-30T20:36:00-03:00,10,Dilma Roussef
2016-08-30T20:44:00-03:00,14,Dilma Roussef
2016-08-30T20:52:00-03:00,11,Dilma Roussef
2016-08-30T21:00:00-03:00,10,Dilma Roussef
2016-08-30T21:08:00-03:00,8,Dilma Roussef
2016-08-30T21:16:00-03:00,7,Dilma Roussef
2016-08-30T21:24:00-03:00,7,Dilma Roussef
2016-08-30T21:32:00-03:00,6,Dilma Roussef
2016-08-29T21:40:00-03:00,23,Fátima Bernardes
2016-08-29T21:48:00-03:00,55,Fátima Bernardes
2016-08-29T21:56:00-03:00,82,Fátima Bernardes
2016-08-29T22:04:00-03:00,98,Fátima Bernardes
2016-08-29T22:12:00-03:00,99,Fátima Bernardes
2016-08-29T22:20:00-03:00,100,Fátima Bernardes
2016-08-29T22:28:00-03:00,93,Fátima Bernardes
2016-08-29T22:36:00-03:00,80,Fátima Bernardes
2016-08-29T22:44:00-03:00,72,Fátima Bernardes
2016-08-29T22:52:00-03:00,70,Fátima Bernardes
2016-08-29T23:00:00-03:00,65,Fátima Bernardes
2016-08-29T23:08:00-03:00,57,Fátima Bernardes
2016-08-29T23:16:00-03:00,56,Fátima Bernardes
2016-08-29T23:24:00-03:00,66,Fátima Bernardes
2016-08-29T23:32:00-03:00,52,Fátima Bernardes
2016-08-29T23:40:00-03:00,44,Fátima Bernardes
2016-08-29T23:48:00-03:00,41,Fátima Bernardes
2016-08-29T23:56:00-03:00,38,Fátima Bernardes
2016-08-30T00:04:00-03:00,33,Fátima Bernardes
2016-08-30T00:12:00-03:00,30,Fátima Bernardes
2016-08-30T00:20:00-03:00,25,Fátima Bernardes
2016-08-30T00:28:00-03:00,23,Fátima Bernardes
2016-08-30T00:36:00-03:00,21,Fátima Bernardes
2016-08-30T00:44:00-03:00,17,Fátima Bernardes
2016-08-30T00:52:00-03:00,16,Fátima Bernardes
2016-08-30T01:00:00-03:00,14,Fátima Bernardes
2016-08-30T01:08:00-03:00,12,Fátima Bernardes
2016-08-30T01:16:00-03:00,11,Fátima Bernardes
2016-08-30T01:24:00-03:00,10,Fátima Bernardes
2016-08-30T01:32:00-03:00,8,Fátima Bernardes
2016-08-30T01:40:00-03:00,7,Fátima Bernardes
2016-08-30T01:48:00-03:00,6,Fátima Bernardes
2016-08-30T01:56:00-03:00,5,Fátima Bernardes
2016-08-30T02:04:00-03:00,5,Fátima Bernardes
2016-08-30T02:12:00-03:00,4,Fátima Bernardes
2016-08-30T02:20:00-03:00,4,Fátima Bernardes
2016-08-30T02:28:00-03:00,3,Fátima Bernardes
2016-08-30T02:36:00-03:00,3,Fátima Bernardes
2016-08-30T02:44:00-03:00,3,Fátima Bernardes
2016-08-30T02:52:00-03:00,2,Fátima Bernardes
2016-08-30T03:00:00-03:00,2,Fátima Bernardes
2016-08-30T03:08:00-03:00,2,Fátima Bernardes
2016-08-30T03:16:00-03:00,2,Fátima Bernardes
2016-08-30T03:24:00-03:00,2,Fátima Bernardes
2016-08-30T03:32:00-03:00,2,Fátima Bernardes
2016-08-30T03:40:00-03:00,2,Fátima Bernardes
2016-08-30T03:48:00-03:00,2,Fátima Bernardes
2016-08-30T03:56:00-03:00,1,Fátima Bernardes
2016-08-30T04:04:00-03:00,2,Fátima Bernardes
2016-08-30T04:12:00-03:00,1,Fátima Bernardes
2016-08-30T04:20:00-03:00,2,Fátima Bernardes
2016-08-30T04:28:00-03:00,1,Fátima Bernardes
2016-08-30T04:36:00-03:00,2,Fátima Bernardes
2016-08-30T04:44:00-03:00,2,Fátima Bernardes
2016-08-30T04:52:00-03:00,2,Fátima Bernardes
2016-08-30T05:00:00-03:00,2,Fátima Bernardes
2016-08-30T05:08:00-03:00,2,Fátima Bernardes
2016-08-30T05:16:00-03:00,3,Fátima Bernardes
2016-08-30T05:24:00-03:00,3,Fátima Bernardes
2016-08-30T05:32:00-03:00,4,Fátima Bernardes
2016-08-30T05:40:00-03:00,4,Fátima Bernardes
2016-08-30T05:48:00-03:00,5,Fátima Bernardes
2016-08-30T05:56:00-03:00,5,Fátima Bernardes
2016-08-30T06:04:00-03:00,6,Fátima Bernardes
2016-08-30T06:12:00-03:00,7,Fátima Bernardes
2016-08-30T06:20:00-03:00,8,Fátima Bernardes
2016-08-30T06:28:00-03:00,9,Fátima Bernardes
2016-08-30T06:36:00-03:00,10,Fátima Bernardes
2016-08-30T06:44:00-03:00,10,Fátima Bernardes
2016-08-30T06:52:00-03:00,11,Fátima Bernardes
2016-08-30T07:00:00-03:00,11,Fátima Bernardes
2016-08-30T07:08:00-03:00,12,Fátima Bernardes
2016-08-30T07:16:00-03:00,12,Fátima Bernardes
2016-08-30T07:24:00-03:00,13,Fátima Bernardes
2016-08-30T07:32:00-03:00,14,Fátima Bernardes
2016-08-30T07:40:00-03:00,14,Fátima Bernardes
2016-08-30T07:48:00-03:00,14,Fátima Bernardes
2016-08-30T07:56:00-03:00,14,Fátima Bernardes
2016-08-30T08:04:00-03:00,15,Fátima Bernardes
2016-08-30T08:12:00-03:00,16,Fátima Bernardes
2016-08-30T08:20:00-03:00,16,Fátima Bernardes
2016-08-30T08:28:00-03:00,15,Fátima Bernardes
2016-08-30T08:36:00-03:00,15,Fátima Bernardes
2016-08-30T08:44:00-03:00,16,Fátima Bernardes
2016-08-30T08:52:00-03:00,15,Fátima Bernardes
2016-08-30T09:00:00-03:00,14,Fátima Bernardes
2016-08-30T09:08:00-03:00,14,Fátima Bernardes
2016-08-30T09:16:00-03:00,15,Fátima Bernardes
2016-08-30T09:24:00-03:00,14,Fátima Bernardes
2016-08-30T09:32:00-03:00,14,Fátima Bernardes
2016-08-30T09:40:00-03:00,13,Fátima Bernardes
2016-08-30T09:48:00-03:00,14,Fátima Bernardes
