date	dilma	fatima	william
2016-08-29T21:40:00	9	23	20
2016-08-29T21:48:00	9	55	44
2016-08-29T21:56:00	9	82	60
2016-08-29T22:04:00	9	98	71
2016-08-29T22:12:00	9	99	68
2016-08-29T22:20:00	9	100	68
2016-08-29T22:28:00	9	93	62
2016-08-29T22:36:00	9	80	54
2016-08-29T22:44:00	9	72	48
2016-08-29T22:52:00	10	70	46
2016-08-29T23:00:00	9	65	43
2016-08-29T23:08:00	9	57	38
2016-08-29T23:16:00	8	56	37
2016-08-29T23:24:00	8	66	40
2016-08-29T23:32:00	9	52	33
2016-08-29T23:40:00	9	44	29
2016-08-29T23:48:00	9	41	25
2016-08-29T23:56:00	8	38	23
2016-08-30T00:04:00	8	33	20
2016-08-30T00:12:00	8	30	17
2016-08-30T00:20:00	7	25	15
2016-08-30T00:28:00	6	23	13
2016-08-30T00:36:00	6	21	12
2016-08-30T00:44:00	5	17	10
2016-08-30T00:52:00	5	16	9
2016-08-30T01:00:00	5	14	8
2016-08-30T01:08:00	5	12	8
2016-08-30T01:16:00	4	11	7
2016-08-30T01:24:00	3	10	6
2016-08-30T01:32:00	3	8	5
2016-08-30T01:40:00	3	7	4
2016-08-30T01:48:00	2	6	4
2016-08-30T01:56:00	2	5	3
2016-08-30T02:04:00	2	5	3
2016-08-30T02:12:00	2	4	3
2016-08-30T02:20:00	2	4	3
2016-08-30T02:28:00	2	3	2
2016-08-30T02:36:00	2	3	2
2016-08-30T02:44:00	1	3	2
2016-08-30T02:52:00	1	2	2
2016-08-30T03:00:00	1	2	1
2016-08-30T03:08:00	1	2	1
2016-08-30T03:16:00	1	2	1
2016-08-30T03:24:00	1	2	1
2016-08-30T03:32:00	1	2	1
2016-08-30T03:40:00	1	2	1
2016-08-30T03:48:00	1	2	1
2016-08-30T03:56:00	1	1	1
2016-08-30T04:04:00	1	2	1
2016-08-30T04:12:00	1	1	1
2016-08-30T04:20:00	1	2	1
2016-08-30T04:28:00	1	1	1
2016-08-30T04:36:00	1	2	1
2016-08-30T04:44:00	1	2	1
2016-08-30T04:52:00	1	2	1
2016-08-30T05:00:00	1	2	1
2016-08-30T05:08:00	1	2	1
2016-08-30T05:16:00	1	3	2
2016-08-30T05:24:00	1	3	2
2016-08-30T05:32:00	1	4	2
2016-08-30T05:40:00	2	4	2
2016-08-30T05:48:00	2	5	3
2016-08-30T05:56:00	2	5	3
2016-08-30T06:04:00	2	6	4
2016-08-30T06:12:00	2	7	4
2016-08-30T06:20:00	3	8	5
2016-08-30T06:28:00	3	9	5
2016-08-30T06:36:00	3	10	6
2016-08-30T06:44:00	3	10	6
2016-08-30T06:52:00	3	11	6
2016-08-30T07:00:00	4	11	6
2016-08-30T07:08:00	4	12	7
2016-08-30T07:16:00	4	12	7
2016-08-30T07:24:00	4	13	8
2016-08-30T07:32:00	5	14	8
2016-08-30T07:40:00	7	14	9
2016-08-30T07:48:00	5	14	8
2016-08-30T07:56:00	5	14	9
2016-08-30T08:04:00	5	15	10
2016-08-30T08:12:00	6	16	10
2016-08-30T08:20:00	5	16	10
2016-08-30T08:28:00	5	15	10
2016-08-30T08:36:00	5	15	10
2016-08-30T08:44:00	6	16	10
2016-08-30T08:52:00	5	15	9
2016-08-30T09:00:00	6	14	9
2016-08-30T09:08:00	6	14	9
2016-08-30T09:16:00	5	15	9
2016-08-30T09:24:00	5	14	9
2016-08-30T09:32:00	5	14	9
2016-08-30T09:40:00	5	13	9
2016-08-30T09:48:00	5	14	9
2016-08-30T09:56:00	5	13	8
2016-08-30T10:04:00	5	14	9
2016-08-30T10:12:00	6	14	9
2016-08-30T10:20:00	5	13	8
2016-08-30T10:28:00	5	13	8
2016-08-30T10:36:00	5	13	8
2016-08-30T10:44:00	5	15	9
2016-08-30T10:52:00	5	16	9
2016-08-30T11:00:00	5	15	8
2016-08-30T11:08:00	5	16	9
2016-08-30T11:16:00	5	16	9
2016-08-30T11:24:00	5	18	10
2016-08-30T11:32:00	5	19	10
2016-08-30T11:40:00	5	19	10
2016-08-30T11:48:00	5	21	11
2016-08-30T11:56:00	5	17	9
2016-08-30T12:04:00	6	15	9
2016-08-30T12:12:00	5	15	9
2016-08-30T12:20:00	5	16	9
2016-08-30T12:28:00	6	18	10
2016-08-30T12:36:00	6	19	12
2016-08-30T12:44:00	6	17	11
2016-08-30T12:52:00	5	19	12
2016-08-30T13:00:00	6	17	11
2016-08-30T13:08:00	6	17	11
2016-08-30T13:16:00	7	16	11
2016-08-30T13:24:00	7	17	11
2016-08-30T13:32:00	5	17	11
2016-08-30T13:40:00	5	18	12
2016-08-30T13:48:00	5	17	11
2016-08-30T13:56:00	5	16	11
2016-08-30T14:04:00	5	16	11
2016-08-30T14:12:00	5	15	10
2016-08-30T14:20:00	5	16	10
2016-08-30T14:28:00	5	14	9
2016-08-30T14:36:00	5	14	9
2016-08-30T14:44:00	5	14	10
2016-08-30T14:52:00	5	13	9
2016-08-30T15:00:00	5	13	9
2016-08-30T15:08:00	5	11	8
2016-08-30T15:16:00	5	13	9
2016-08-30T15:24:00	5	12	8
2016-08-30T15:32:00	5	12	8
2016-08-30T15:40:00	5	12	9
2016-08-30T15:48:00	5	12	8
2016-08-30T15:56:00	5	12	8
2016-08-30T16:04:00	5	12	8
2016-08-30T16:12:00	5	12	8
2016-08-30T16:20:00	5	12	8
2016-08-30T16:28:00	5	12	9
2016-08-30T16:36:00	6	12	8
2016-08-30T16:44:00	6	12	9
2016-08-30T16:52:00	6	12	8
2016-08-30T17:00:00	6	12	8
2016-08-30T17:08:00	6	12	8
2016-08-30T17:16:00	6	11	8
2016-08-30T17:24:00	6	11	8
2016-08-30T17:32:00	6	12	8
2016-08-30T17:40:00	6	12	8
2016-08-30T17:48:00	6	12	9
2016-08-30T17:56:00	6	12	9
2016-08-30T18:04:00	6	12	9
2016-08-30T18:12:00	6	12	8
2016-08-30T18:20:00	6	13	9
2016-08-30T18:28:00	7	14	10
2016-08-30T18:36:00	6	15	10
2016-08-30T18:44:00	7	19	13
2016-08-30T18:52:00	7	16	11
2016-08-30T19:00:00	7	16	11
2016-08-30T19:08:00	7	16	11
2016-08-30T19:16:00	7	16	12
2016-08-30T19:24:00	7	16	12
2016-08-30T19:32:00	7	16	12
2016-08-30T19:40:00	7	18	13
2016-08-30T19:48:00	8	16	11
2016-08-30T19:56:00	8	24	17
2016-08-30T20:04:00	8	19	13
2016-08-30T20:12:00	9	19	13
2016-08-30T20:20:00	8	19	14
2016-08-30T20:28:00	9	24	17
2016-08-30T20:36:00	10	26	20
2016-08-30T20:44:00	14	23	17
2016-08-30T20:52:00	11	26	20
2016-08-30T21:00:00	10	28	22
2016-08-30T21:08:00	8	24	21
2016-08-30T21:16:00	7	32	29
2016-08-30T21:24:00	7	40	40
2016-08-30T21:32:00	6	20	17
