data,headlines,categoria,datadois
12/05/2016,7,Declarações,05/12/2016
13/05/2016,2,Declarações,05/13/2016
14/05/2016,2,Declarações,05/14/2016
15/05/2016,1,Declarações,05/15/2016
16/05/2016,4,Declarações,05/16/2016
17/05/2016,2,Declarações,05/17/2016
18/05/2016,4,Declarações,05/18/2016
19/05/2016,3,Declarações,05/19/2016
20/05/2016,3,Declarações,05/20/2016
21/05/2016,2,Declarações,05/21/2016
22/05/2016,1,Declarações,05/22/2016
23/05/2016,1,Declarações,05/23/2016
24/05/2016,1,Declarações,05/24/2016
25/05/2016,1,Declarações,05/25/2016
27/05/2016,0,Declarações,05/27/2016
29/05/2016,0,Declarações,05/29/2016
30/05/2016,2,Declarações,05/30/2016
31/05/2016,3,Declarações,05/31/2016
01/06/2016,5,Declarações,06/01/2016
02/06/2016,1,Declarações,06/02/2016
03/06/2016,0,Declarações,06/03/2016
05/06/2016,1,Declarações,06/05/2016
06/06/2016,0,Declarações,06/06/2016
07/06/2016,4,Declarações,06/07/2016
08/06/2016,2,Declarações,06/08/2016
09/06/2016,1,Declarações,06/09/2016
10/06/2016,2,Declarações,06/10/2016
11/06/2016,1,Declarações,06/11/2016
12/06/2016,1,Declarações,06/12/2016
13/06/2016,0,Declarações,06/13/2016
14/06/2016,0,Declarações,06/14/2016
15/06/2016,3,Declarações,06/15/2016
16/06/2016,3,Declarações,06/16/2016
17/06/2016,2,Declarações,06/17/2016
19/06/2016,1,Declarações,06/19/2016
20/06/2016,3,Declarações,06/20/2016
21/06/2016,1,Declarações,06/21/2016
22/06/2016,2,Declarações,06/22/2016
23/06/2016,4,Declarações,06/23/2016
24/06/2016,0,Declarações,06/24/2016
26/06/2016,0,Declarações,06/26/2016
27/06/2016,1,Declarações,06/27/2016
28/06/2016,3,Declarações,06/28/2016
29/06/2016,1,Declarações,06/29/2016
30/06/2016,2,Declarações,06/30/2016
01/07/2016,0,Declarações,07/01/2016
02/07/2016,0,Declarações,07/02/2016
03/07/2016,0,Declarações,07/03/2016
04/07/2016,2,Declarações,07/04/2016
05/07/2016,2,Declarações,07/05/2016
06/07/2016,0,Declarações,07/06/2016
07/07/2016,2,Declarações,07/07/2016
08/07/2016,1,Declarações,07/08/2016
10/07/2016,0,Declarações,07/10/2016
11/07/2016,0,Declarações,07/11/2016
12/07/2016,1,Declarações,07/12/2016
13/07/2016,2,Declarações,07/13/2016
14/07/2016,3,Declarações,07/14/2016
15/07/2016,1,Declarações,07/15/2016
16/07/2016,0,Declarações,07/16/2016
17/07/2016,1,Declarações,07/17/2016
18/07/2016,1,Declarações,07/18/2016
19/07/2016,2,Declarações,07/19/2016
20/07/2016,1,Declarações,07/20/2016
21/07/2016,0,Declarações,07/21/2016
22/07/2016,0,Declarações,07/22/2016
25/07/2016,0,Declarações,07/25/2016
26/07/2016,2,Declarações,07/26/2016
27/07/2016,2,Declarações,07/27/2016
28/07/2016,0,Declarações,07/28/2016
29/07/2016,1,Declarações,07/29/2016
30/07/2016,1,Declarações,07/30/2016
31/07/2016,1,Declarações,07/31/2016
01/08/2016,3,Declarações,08/01/2016
02/08/2016,1,Declarações,08/02/2016
03/08/2016,1,Declarações,08/03/2016
04/08/2016,3,Declarações,08/04/2016
05/08/2016,4,Declarações,08/05/2016
06/08/2016,0,Declarações,08/06/2016
08/08/2016,1,Declarações,08/08/2016
09/08/2016,1,Declarações,08/09/2016
10/08/2016,1,Declarações,08/10/2016
11/08/2016,1,Declarações,08/11/2016
12/08/2016,3,Declarações,08/12/2016
14/08/2016,0,Declarações,08/14/2016
15/08/2016,0,Declarações,08/15/2016
16/08/2016,1,Declarações,08/16/2016
17/08/2016,0,Declarações,08/17/2016
18/08/2016,2,Declarações,08/18/2016
19/08/2016,1,Declarações,08/19/2016
21/08/2016,0,Declarações,08/21/2016
22/08/2016,1,Declarações,08/22/2016
12/05/2016,18,Nomeações,05/12/2016
13/05/2016,1,Nomeações,05/13/2016
14/05/2016,0,Nomeações,05/14/2016
15/05/2016,0,Nomeações,05/15/2016
16/05/2016,2,Nomeações,05/16/2016
17/05/2016,3,Nomeações,05/17/2016
18/05/2016,4,Nomeações,05/18/2016
19/05/2016,1,Nomeações,05/19/2016
20/05/2016,2,Nomeações,05/20/2016
21/05/2016,0,Nomeações,05/21/2016
22/05/2016,0,Nomeações,05/22/2016
23/05/2016,1,Nomeações,05/23/2016
24/05/2016,3,Nomeações,05/24/2016
25/05/2016,1,Nomeações,05/25/2016
27/05/2016,1,Nomeações,05/27/2016
29/05/2016,0,Nomeações,05/29/2016
30/05/2016,2,Nomeações,05/30/2016
31/05/2016,2,Nomeações,05/31/2016
01/06/2016,1,Nomeações,06/01/2016
02/06/2016,0,Nomeações,06/02/2016
03/06/2016,2,Nomeações,06/03/2016
05/06/2016,0,Nomeações,06/05/2016
06/06/2016,1,Nomeações,06/06/2016
07/06/2016,1,Nomeações,06/07/2016
08/06/2016,1,Nomeações,06/08/2016
09/06/2016,2,Nomeações,06/09/2016
10/06/2016,0,Nomeações,06/10/2016
11/06/2016,0,Nomeações,06/11/2016
12/06/2016,0,Nomeações,06/12/2016
13/06/2016,1,Nomeações,06/13/2016
14/06/2016,0,Nomeações,06/14/2016
15/06/2016,0,Nomeações,06/15/2016
16/06/2016,0,Nomeações,06/16/2016
17/06/2016,1,Nomeações,06/17/2016
19/06/2016,0,Nomeações,06/19/2016
20/06/2016,2,Nomeações,06/20/2016
21/06/2016,2,Nomeações,06/21/2016
22/06/2016,0,Nomeações,06/22/2016
23/06/2016,0,Nomeações,06/23/2016
24/06/2016,1,Nomeações,06/24/2016
26/06/2016,0,Nomeações,06/26/2016
27/06/2016,0,Nomeações,06/27/2016
28/06/2016,1,Nomeações,06/28/2016
29/06/2016,0,Nomeações,06/29/2016
30/06/2016,0,Nomeações,06/30/2016
01/07/2016,0,Nomeações,07/01/2016
02/07/2016,0,Nomeações,07/02/2016
03/07/2016,0,Nomeações,07/03/2016
04/07/2016,1,Nomeações,07/04/2016
05/07/2016,2,Nomeações,07/05/2016
06/07/2016,0,Nomeações,07/06/2016
07/07/2016,2,Nomeações,07/07/2016
08/07/2016,1,Nomeações,07/08/2016
10/07/2016,1,Nomeações,07/10/2016
11/07/2016,2,Nomeações,07/11/2016
12/07/2016,2,Nomeações,07/12/2016
13/07/2016,2,Nomeações,07/13/2016
14/07/2016,0,Nomeações,07/14/2016
15/07/2016,0,Nomeações,07/15/2016
16/07/2016,0,Nomeações,07/16/2016
17/07/2016,0,Nomeações,07/17/2016
18/07/2016,0,Nomeações,07/18/2016
19/07/2016,0,Nomeações,07/19/2016
20/07/2016,0,Nomeações,07/20/2016
21/07/2016,0,Nomeações,07/21/2016
22/07/2016,0,Nomeações,07/22/2016
25/07/2016,0,Nomeações,07/25/2016
26/07/2016,0,Nomeações,07/26/2016
27/07/2016,0,Nomeações,07/27/2016
28/07/2016,0,Nomeações,07/28/2016
29/07/2016,0,Nomeações,07/29/2016
30/07/2016,0,Nomeações,07/30/2016
31/07/2016,0,Nomeações,07/31/2016
01/08/2016,0,Nomeações,08/01/2016
02/08/2016,0,Nomeações,08/02/2016
03/08/2016,0,Nomeações,08/03/2016
04/08/2016,0,Nomeações,08/04/2016
05/08/2016,1,Nomeações,08/05/2016
06/08/2016,0,Nomeações,08/06/2016
08/08/2016,0,Nomeações,08/08/2016
09/08/2016,1,Nomeações,08/09/2016
10/08/2016,0,Nomeações,08/10/2016
11/08/2016,0,Nomeações,08/11/2016
12/08/2016,0,Nomeações,08/12/2016
14/08/2016,0,Nomeações,08/14/2016
15/08/2016,0,Nomeações,08/15/2016
16/08/2016,0,Nomeações,08/16/2016
17/08/2016,0,Nomeações,08/17/2016
18/08/2016,0,Nomeações,08/18/2016
19/08/2016,0,Nomeações,08/19/2016
21/08/2016,0,Nomeações,08/21/2016
22/08/2016,0,Nomeações,08/22/2016
12/05/2016,4,Polêmicas,05/12/2016
13/05/2016,4,Polêmicas,05/13/2016
14/05/2016,0,Polêmicas,05/14/2016
15/05/2016,1,Polêmicas,05/15/2016
16/05/2016,1,Polêmicas,05/16/2016
17/05/2016,5,Polêmicas,05/17/2016
18/05/2016,0,Polêmicas,05/18/2016
19/05/2016,3,Polêmicas,05/19/2016
20/05/2016,3,Polêmicas,05/20/2016
21/05/2016,1,Polêmicas,05/21/2016
22/05/2016,0,Polêmicas,05/22/2016
23/05/2016,2,Polêmicas,05/23/2016
24/05/2016,2,Polêmicas,05/24/2016
25/05/2016,3,Polêmicas,05/25/2016
27/05/2016,1,Polêmicas,05/27/2016
29/05/2016,0,Polêmicas,05/29/2016
30/05/2016,4,Polêmicas,05/30/2016
31/05/2016,2,Polêmicas,05/31/2016
01/06/2016,1,Polêmicas,06/01/2016
02/06/2016,3,Polêmicas,06/02/2016
03/06/2016,3,Polêmicas,06/03/2016
05/06/2016,1,Polêmicas,06/05/2016
06/06/2016,1,Polêmicas,06/06/2016
07/06/2016,3,Polêmicas,06/07/2016
08/06/2016,2,Polêmicas,06/08/2016
09/06/2016,1,Polêmicas,06/09/2016
10/06/2016,1,Polêmicas,06/10/2016
11/06/2016,0,Polêmicas,06/11/2016
12/06/2016,0,Polêmicas,06/12/2016
13/06/2016,1,Polêmicas,06/13/2016
14/06/2016,0,Polêmicas,06/14/2016
15/06/2016,3,Polêmicas,06/15/2016
16/06/2016,4,Polêmicas,06/16/2016
17/06/2016,2,Polêmicas,06/17/2016
19/06/2016,0,Polêmicas,06/19/2016
20/06/2016,1,Polêmicas,06/20/2016
21/06/2016,1,Polêmicas,06/21/2016
22/06/2016,2,Polêmicas,06/22/2016
23/06/2016,3,Polêmicas,06/23/2016
24/06/2016,3,Polêmicas,06/24/2016
26/06/2016,0,Polêmicas,06/26/2016
27/06/2016,0,Polêmicas,06/27/2016
28/06/2016,1,Polêmicas,06/28/2016
29/06/2016,1,Polêmicas,06/29/2016
30/06/2016,0,Polêmicas,06/30/2016
01/07/2016,0,Polêmicas,07/01/2016
02/07/2016,0,Polêmicas,07/02/2016
03/07/2016,0,Polêmicas,07/03/2016
04/07/2016,1,Polêmicas,07/04/2016
05/07/2016,0,Polêmicas,07/05/2016
06/07/2016,1,Polêmicas,07/06/2016
07/07/2016,0,Polêmicas,07/07/2016
08/07/2016,1,Polêmicas,07/08/2016
10/07/2016,0,Polêmicas,07/10/2016
11/07/2016,0,Polêmicas,07/11/2016
12/07/2016,0,Polêmicas,07/12/2016
13/07/2016,2,Polêmicas,07/13/2016
14/07/2016,0,Polêmicas,07/14/2016
15/07/2016,0,Polêmicas,07/15/2016
16/07/2016,0,Polêmicas,07/16/2016
17/07/2016,0,Polêmicas,07/17/2016
18/07/2016,0,Polêmicas,07/18/2016
19/07/2016,0,Polêmicas,07/19/2016
20/07/2016,1,Polêmicas,07/20/2016
21/07/2016,1,Polêmicas,07/21/2016
22/07/2016,0,Polêmicas,07/22/2016
25/07/2016,0,Polêmicas,07/25/2016
26/07/2016,0,Polêmicas,07/26/2016
27/07/2016,1,Polêmicas,07/27/2016
28/07/2016,0,Polêmicas,07/28/2016
29/07/2016,0,Polêmicas,07/29/2016
30/07/2016,0,Polêmicas,07/30/2016
31/07/2016,0,Polêmicas,07/31/2016
01/08/2016,0,Polêmicas,08/01/2016
02/08/2016,0,Polêmicas,08/02/2016
03/08/2016,0,Polêmicas,08/03/2016
04/08/2016,2,Polêmicas,08/04/2016
05/08/2016,1,Polêmicas,08/05/2016
06/08/2016,0,Polêmicas,08/06/2016
08/08/2016,0,Polêmicas,08/08/2016
09/08/2016,0,Polêmicas,08/09/2016
10/08/2016,0,Polêmicas,08/10/2016
11/08/2016,2,Polêmicas,08/11/2016
12/08/2016,0,Polêmicas,08/12/2016
14/08/2016,0,Polêmicas,08/14/2016
15/08/2016,1,Polêmicas,08/15/2016
16/08/2016,0,Polêmicas,08/16/2016
17/08/2016,0,Polêmicas,08/17/2016
18/08/2016,1,Polêmicas,08/18/2016
19/08/2016,0,Polêmicas,08/19/2016
21/08/2016,0,Polêmicas,08/21/2016
22/08/2016,0,Polêmicas,08/22/2016
12/05/2016,3,Políticas,05/12/2016
13/05/2016,4,Políticas,05/13/2016
14/05/2016,1,Políticas,05/14/2016
15/05/2016,0,Políticas,05/15/2016
16/05/2016,4,Políticas,05/16/2016
17/05/2016,3,Políticas,05/17/2016
18/05/2016,3,Políticas,05/18/2016
19/05/2016,3,Políticas,05/19/2016
20/05/2016,1,Políticas,05/20/2016
21/05/2016,0,Políticas,05/21/2016
22/05/2016,0,Políticas,05/22/2016
23/05/2016,0,Políticas,05/23/2016
24/05/2016,4,Políticas,05/24/2016
25/05/2016,2,Políticas,05/25/2016
27/05/2016,1,Políticas,05/27/2016
29/05/2016,0,Políticas,05/29/2016
30/05/2016,0,Políticas,05/30/2016
31/05/2016,2,Políticas,05/31/2016
01/06/2016,1,Políticas,06/01/2016
02/06/2016,4,Políticas,06/02/2016
03/06/2016,0,Políticas,06/03/2016
05/06/2016,0,Políticas,06/05/2016
06/06/2016,2,Políticas,06/06/2016
07/06/2016,1,Políticas,06/07/2016
08/06/2016,3,Políticas,06/08/2016
09/06/2016,0,Políticas,06/09/2016
10/06/2016,0,Políticas,06/10/2016
11/06/2016,0,Políticas,06/11/2016
12/06/2016,0,Políticas,06/12/2016
13/06/2016,0,Políticas,06/13/2016
14/06/2016,1,Políticas,06/14/2016
15/06/2016,5,Políticas,06/15/2016
16/06/2016,2,Políticas,06/16/2016
17/06/2016,0,Políticas,06/17/2016
19/06/2016,0,Políticas,06/19/2016
20/06/2016,2,Políticas,06/20/2016
21/06/2016,2,Políticas,06/21/2016
22/06/2016,0,Políticas,06/22/2016
23/06/2016,2,Políticas,06/23/2016
24/06/2016,0,Políticas,06/24/2016
26/06/2016,1,Políticas,06/26/2016
27/06/2016,1,Políticas,06/27/2016
28/06/2016,4,Políticas,06/28/2016
29/06/2016,4,Políticas,06/29/2016
30/06/2016,3,Políticas,06/30/2016
01/07/2016,3,Políticas,07/01/2016
02/07/2016,0,Políticas,07/02/2016
03/07/2016,1,Políticas,07/03/2016
04/07/2016,0,Políticas,07/04/2016
05/07/2016,3,Políticas,07/05/2016
06/07/2016,4,Políticas,07/06/2016
07/07/2016,2,Políticas,07/07/2016
08/07/2016,2,Políticas,07/08/2016
10/07/2016,0,Políticas,07/10/2016
11/07/2016,1,Políticas,07/11/2016
12/07/2016,6,Políticas,07/12/2016
13/07/2016,1,Políticas,07/13/2016
14/07/2016,1,Políticas,07/14/2016
15/07/2016,0,Políticas,07/15/2016
16/07/2016,0,Políticas,07/16/2016
17/07/2016,0,Políticas,07/17/2016
18/07/2016,0,Políticas,07/18/2016
19/07/2016,0,Políticas,07/19/2016
20/07/2016,2,Políticas,07/20/2016
21/07/2016,2,Políticas,07/21/2016
22/07/2016,2,Políticas,07/22/2016
25/07/2016,4,Políticas,07/25/2016
26/07/2016,3,Políticas,07/26/2016
27/07/2016,0,Políticas,07/27/2016
28/07/2016,0,Políticas,07/28/2016
29/07/2016,3,Políticas,07/29/2016
30/07/2016,1,Políticas,07/30/2016
31/07/2016,1,Políticas,07/31/2016
01/08/2016,3,Políticas,08/01/2016
02/08/2016,0,Políticas,08/02/2016
03/08/2016,0,Políticas,08/03/2016
04/08/2016,0,Políticas,08/04/2016
05/08/2016,0,Políticas,08/05/2016
06/08/2016,0,Políticas,08/06/2016
08/08/2016,2,Políticas,08/08/2016
09/08/2016,1,Políticas,08/09/2016
10/08/2016,0,Políticas,08/10/2016
11/08/2016,1,Políticas,08/11/2016
12/08/2016,0,Políticas,08/12/2016
14/08/2016,1,Políticas,08/14/2016
15/08/2016,2,Políticas,08/15/2016
16/08/2016,2,Políticas,08/16/2016
17/08/2016,0,Políticas,08/17/2016
18/08/2016,0,Políticas,08/18/2016
19/08/2016,2,Políticas,08/19/2016
21/08/2016,0,Políticas,08/21/2016
22/08/2016,0,Políticas,08/22/2016
12/05/2016,26,Repercussões,05/12/2016
13/05/2016,11,Repercussões,05/13/2016
14/05/2016,1,Repercussões,05/14/2016
15/05/2016,7,Repercussões,05/15/2016
16/05/2016,7,Repercussões,05/16/2016
17/05/2016,12,Repercussões,05/17/2016
18/05/2016,12,Repercussões,05/18/2016
19/05/2016,5,Repercussões,05/19/2016
20/05/2016,3,Repercussões,05/20/2016
21/05/2016,1,Repercussões,05/21/2016
22/05/2016,3,Repercussões,05/22/2016
23/05/2016,6,Repercussões,05/23/2016
24/05/2016,5,Repercussões,05/24/2016
25/05/2016,4,Repercussões,05/25/2016
27/05/2016,0,Repercussões,05/27/2016
29/05/2016,2,Repercussões,05/29/2016
30/05/2016,1,Repercussões,05/30/2016
31/05/2016,3,Repercussões,05/31/2016
01/06/2016,2,Repercussões,06/01/2016
02/06/2016,6,Repercussões,06/02/2016
03/06/2016,0,Repercussões,06/03/2016
05/06/2016,1,Repercussões,06/05/2016
06/06/2016,2,Repercussões,06/06/2016
07/06/2016,2,Repercussões,06/07/2016
08/06/2016,6,Repercussões,06/08/2016
09/06/2016,2,Repercussões,06/09/2016
10/06/2016,8,Repercussões,06/10/2016
11/06/2016,1,Repercussões,06/11/2016
12/06/2016,0,Repercussões,06/12/2016
13/06/2016,1,Repercussões,06/13/2016
14/06/2016,3,Repercussões,06/14/2016
15/06/2016,1,Repercussões,06/15/2016
16/06/2016,5,Repercussões,06/16/2016
17/06/2016,2,Repercussões,06/17/2016
19/06/2016,0,Repercussões,06/19/2016
20/06/2016,3,Repercussões,06/20/2016
21/06/2016,0,Repercussões,06/21/2016
22/06/2016,1,Repercussões,06/22/2016
23/06/2016,1,Repercussões,06/23/2016
24/06/2016,2,Repercussões,06/24/2016
26/06/2016,1,Repercussões,06/26/2016
27/06/2016,2,Repercussões,06/27/2016
28/06/2016,1,Repercussões,06/28/2016
29/06/2016,5,Repercussões,06/29/2016
30/06/2016,3,Repercussões,06/30/2016
01/07/2016,1,Repercussões,07/01/2016
02/07/2016,1,Repercussões,07/02/2016
03/07/2016,0,Repercussões,07/03/2016
04/07/2016,2,Repercussões,07/04/2016
05/07/2016,2,Repercussões,07/05/2016
06/07/2016,7,Repercussões,07/06/2016
07/07/2016,3,Repercussões,07/07/2016
08/07/2016,1,Repercussões,07/08/2016
10/07/2016,0,Repercussões,07/10/2016
11/07/2016,3,Repercussões,07/11/2016
12/07/2016,2,Repercussões,07/12/2016
13/07/2016,4,Repercussões,07/13/2016
14/07/2016,1,Repercussões,07/14/2016
15/07/2016,1,Repercussões,07/15/2016
16/07/2016,2,Repercussões,07/16/2016
17/07/2016,1,Repercussões,07/17/2016
18/07/2016,0,Repercussões,07/18/2016
19/07/2016,1,Repercussões,07/19/2016
20/07/2016,2,Repercussões,07/20/2016
21/07/2016,2,Repercussões,07/21/2016
22/07/2016,0,Repercussões,07/22/2016
25/07/2016,2,Repercussões,07/25/2016
26/07/2016,2,Repercussões,07/26/2016
27/07/2016,3,Repercussões,07/27/2016
28/07/2016,4,Repercussões,07/28/2016
29/07/2016,0,Repercussões,07/29/2016
30/07/2016,1,Repercussões,07/30/2016
31/07/2016,3,Repercussões,07/31/2016
01/08/2016,3,Repercussões,08/01/2016
02/08/2016,4,Repercussões,08/02/2016
03/08/2016,3,Repercussões,08/03/2016
04/08/2016,4,Repercussões,08/04/2016
05/08/2016,8,Repercussões,08/05/2016
06/08/2016,2,Repercussões,08/06/2016
08/08/2016,2,Repercussões,08/08/2016
09/08/2016,5,Repercussões,08/09/2016
10/08/2016,4,Repercussões,08/10/2016
11/08/2016,1,Repercussões,08/11/2016
12/08/2016,2,Repercussões,08/12/2016
14/08/2016,1,Repercussões,08/14/2016
15/08/2016,2,Repercussões,08/15/2016
16/08/2016,7,Repercussões,08/16/2016
17/08/2016,1,Repercussões,08/17/2016
18/08/2016,3,Repercussões,08/18/2016
19/08/2016,1,Repercussões,08/19/2016
21/08/2016,1,Repercussões,08/21/2016
22/08/2016,0,Repercussões,08/22/2016
